date,avgmem,OT
2019-05-01 0:15,0.72934414,0.199235144
2019-05-01 0:20,0.7861716,0.223793185
2019-05-01 0:25,0.824302373,0.237447912
2019-05-01 0:30,0.878058424,0.275707043
2019-05-01 0:35,0.901373805,0.264494967
2019-05-01 0:40,0.91402907,0.262912183
2019-05-01 0:45,0.889152765,0.19295543
2019-05-01 0:50,0.808226652,0.132633186
2019-05-01 0:55,0.758770039,0.143513339
2019-05-01 1:00,0.763254071,0.0664698101
2019-05-01 1:05,0.750308668,0.115745606
2019-05-01 1:10,0.799941945,0.138465562
2019-05-01 1:15,0.87915395,0.207625407
2019-05-01 1:20,0.981265192,0.129097559
2019-05-01 1:25,0.906263793,0.0648111568
2019-05-01 1:30,0.908561539,0.106733666
2019-05-01 1:35,0.907109523,0.133425383
2019-05-01 1:40,0.944018994,0.158492941
2019-05-01 1:45,0.899547589,0.11799856
2019-05-01 1:50,0.895164761,0.173726871
2019-05-01 1:55,0.863891861,0.185276288
2019-05-01 2:00,0.836301632,0.148650881
2019-05-01 2:05,0.877439262,0.144618807
2019-05-01 2:10,0.892021355,0.180723984
2019-05-01 2:15,0.926529153,0.194925157
2019-05-01 2:20,0.946323009,0.178169614
2019-05-01 2:25,0.957891801,0.164282467
2019-05-01 2:30,0.807528261,0.172129572
2019-05-01 2:35,0.84411401,0.225553225
2019-05-01 2:40,0.836427261,0.176450632
2019-05-01 2:45,0.841969587,0.181312964
2019-05-01 2:50,0.876280726,0.192830206
2019-05-01 2:55,0.918939743,0.180552623
2019-05-01 3:00,0.935329461,0.180612072
2019-05-01 3:05,0.915756257,0.147656326
2019-05-01 3:10,0.924651443,0.144474656
2019-05-01 3:15,0.932249257,0.16280414
2019-05-01 3:20,0.914125935,0.157980022
2019-05-01 3:25,0.927666576,0.200722801
2019-05-01 3:30,0.915817962,0.218270435
2019-05-01 3:35,0.932980879,0.192669771
2019-05-01 3:40,0.943224616,0.209548185
2019-05-01 3:45,0.936741266,0.247460592
2019-05-01 3:50,0.957658569,0.224543545
2019-05-01 3:55,0.914685725,0.189892218
2019-05-01 4:00,0.870492693,0.178840182
2019-05-01 4:05,0.872082582,0.165062747
2019-05-01 4:10,0.862248126,0.194336156
2019-05-01 4:15,0.883061234,0.23546843
2019-05-01 4:20,0.883388283,0.189870022
2019-05-01 4:25,0.862387929,0.176847085
2019-05-01 4:30,0.881289335,0.195311852
2019-05-01 4:35,0.921164336,0.225579301
2019-05-01 4:40,0.931468388,0.217484388
2019-05-01 4:45,0.91948876,0.245872376
2019-05-01 4:50,0.921702034,0.241855925
2019-05-01 4:55,0.879751649,0.221057745
2019-05-01 5:00,0.874471406,0.241644034
2019-05-01 5:05,0.901117177,0.272329293
2019-05-01 5:10,0.890381724,0.303564832
2019-05-01 5:15,0.844948689,0.298082818
2019-05-01 5:20,0.882479382,0.306068825
2019-05-01 5:25,0.842533987,0.313200162
2019-05-01 5:30,0.816729741,0.293921933
2019-05-01 5:35,0.808066895,0.320860499
2019-05-01 5:40,0.892354017,0.372997905
2019-05-01 5:45,0.876704322,0.356910595
2019-05-01 5:50,0.873300726,0.306686346
2019-05-01 5:55,0.883443186,0.369439788
2019-05-01 6:00,0.878419461,0.296525399
2019-05-01 6:05,0.86509042,0.33537636
2019-05-01 6:10,0.954778702,0.378143076
2019-05-01 6:15,0.899843628,0.429411572
2019-05-01 6:20,0.932524502,0.379745312
2019-05-01 6:25,0.947129665,0.347520794
2019-05-01 6:30,0.959321603,0.379308602
2019-05-01 6:35,0.931107399,0.353954317
2019-05-01 6:40,0.947514344,0.376522207
2019-05-01 6:45,0.926770145,0.383107202
2019-05-01 6:50,0.886063103,0.353739443
2019-05-01 6:55,0.914569106,0.359841294
2019-05-01 7:00,0.937336281,0.400800084
2019-05-01 7:05,0.944003266,0.387124058
2019-05-01 7:10,0.954853934,0.372217431
2019-05-01 7:15,0.938677701,0.416561407
2019-05-01 7:20,0.934898602,0.404618198
2019-05-01 7:25,0.927583739,0.389846889
2019-05-01 7:30,0.934294984,0.38218361
2019-05-01 7:35,0.907554414,0.350528758
2019-05-01 7:40,0.916011912,0.297252777
2019-05-01 7:45,0.909086526,0.297293173
2019-05-01 7:50,0.899647018,0.255305875
2019-05-01 7:55,0.897522142,0.279116846
2019-05-01 8:00,0.895281372,0.329426823
2019-05-01 8:05,0.913578242,0.294121532
2019-05-01 8:10,0.907516335,0.269262224
2019-05-01 8:15,0.907166064,0.298699047
2019-05-01 8:20,0.934972718,0.319067604
2019-05-01 8:25,0.922710355,0.290787886
2019-05-01 8:30,0.912251324,0.290731906
2019-05-01 8:35,0.913248471,0.336642319
2019-05-01 8:40,0.935986952,0.342868901
2019-05-01 8:45,0.912961866,0.289892046
2019-05-01 8:50,0.910187433,0.306301795
2019-05-01 8:55,0.900864464,0.296615009
2019-05-01 9:00,0.911335002,0.350747268
2019-05-01 9:05,0.891247766,0.330065186
2019-05-01 9:10,0.901760387,0.309300283
2019-05-01 9:15,0.870871133,0.349762618
2019-05-01 9:20,0.868186042,0.380786745
2019-05-01 9:25,0.874211514,0.395352006
2019-05-01 9:30,0.850198692,0.420884966
2019-05-01 9:35,0.8105225,0.396352154
2019-05-01 9:40,0.832404186,0.411802869
2019-05-01 9:45,0.812356762,0.465382221
2019-05-01 9:50,0.825318747,0.466534772
2019-05-01 9:55,0.795496564,0.436140869
2019-05-01 10:00,0.837333334,0.490506031
2019-05-01 10:05,0.858201487,0.510116347
2019-05-01 10:10,0.838973842,0.513303942
2019-05-01 10:15,0.82293311,0.449961641
2019-05-01 10:20,0.79536497,0.466983703
2019-05-01 10:25,0.75520944,0.407652512
2019-05-01 10:30,0.729341977,0.379627709
2019-05-01 10:35,0.715997099,0.382092546
2019-05-01 10:40,0.720559491,0.40494662
2019-05-01 10:45,0.779382531,0.417603604
2019-05-01 10:50,0.790329937,0.397965822
2019-05-01 10:55,0.76333896,0.454485659
2019-05-01 11:00,0.755703611,0.468885489
2019-05-01 11:05,0.751244755,0.431620007
2019-05-01 11:10,0.772380011,0.474535115
2019-05-01 11:15,0.737781063,0.52938043
2019-05-01 11:20,0.7223529,0.616336484
2019-05-01 11:25,0.749332,0.661840496
2019-05-01 11:30,0.758577346,0.64537444
2019-05-01 11:35,0.74524929,0.569793051
2019-05-01 11:40,0.788709464,0.573518946
2019-05-01 11:45,0.78456091,0.55971894
2019-05-01 11:50,0.760158107,0.534284975
2019-05-01 11:55,0.730918904,0.490080732
2019-05-01 12:00,0.71086658,0.49162626
2019-05-01 12:05,0.785657966,0.524887315
2019-05-01 12:10,0.778129193,0.5706326
2019-05-01 12:15,0.788321162,0.608735807
2019-05-01 12:20,0.749742489,0.496056855
2019-05-01 12:25,0.731171877,0.523069287
2019-05-01 12:30,0.700895809,0.527482814
2019-05-01 12:35,0.706427241,0.555400148
2019-05-01 12:40,0.71305573,0.550636742
2019-05-01 12:45,0.691883062,0.590717448
2019-05-01 12:50,0.702264437,0.580672589
2019-05-01 12:55,0.672826165,0.510991561
2019-05-01 13:00,0.689605103,0.551496713
2019-05-01 13:05,0.733818833,0.624934059
2019-05-01 13:10,0.714630078,0.606884959
2019-05-01 13:15,0.726654425,0.629857319
2019-05-01 13:20,0.768792514,0.596697462
2019-05-01 13:25,0.794639719,0.616599129
2019-05-01 13:30,0.811893493,0.62412148
2019-05-01 13:35,0.823372527,0.654649763
2019-05-01 13:40,0.815178613,0.642337873
2019-05-01 13:45,0.78244067,0.565796929
2019-05-01 13:50,0.726808145,0.469765214
2019-05-01 13:55,0.726202782,0.482328821
2019-05-01 14:00,0.773974388,0.515163313
2019-05-01 14:05,0.774968971,0.522504365
2019-05-01 14:10,0.802719621,0.523823561
2019-05-01 14:15,0.79917719,0.574463285
2019-05-01 14:20,0.816886325,0.566193022
2019-05-01 14:25,0.812896716,0.552499637
2019-05-01 14:30,0.797415101,0.52272512
2019-05-01 14:35,0.793666075,0.526785244
2019-05-01 14:40,0.798417472,0.539323401
2019-05-01 14:45,0.762656773,0.515317625
2019-05-01 14:50,0.794987739,0.51835273
2019-05-01 14:55,0.766420199,0.469509324
2019-05-01 15:00,0.756643288,0.443967184
2019-05-01 15:05,0.737914568,0.435186671
2019-05-01 15:10,0.744687145,0.465635981
2019-05-01 15:15,0.740662462,0.542795753
2019-05-01 15:20,0.697973678,0.479463779
2019-05-01 15:25,0.696789608,0.428373209
2019-05-01 15:30,0.72325888,0.443655331
2019-05-01 15:35,0.735870251,0.430736645
2019-05-01 15:40,0.733866463,0.461950654
2019-05-01 15:45,0.753989056,0.548851343
2019-05-01 15:50,0.684963713,0.436691469
2019-05-01 15:55,0.664460878,0.468873703
2019-05-01 16:00,0.733034815,0.492097874
2019-05-01 16:05,0.764661253,0.535776429
2019-05-01 16:10,0.804883362,0.583783857
2019-05-01 16:15,0.776140556,0.568826159
2019-05-01 16:20,0.741279189,0.482885107
2019-05-01 16:25,0.693323354,0.383784805
2019-05-01 16:30,0.708368713,0.428425165
2019-05-01 16:35,0.68013849,0.479997321
2019-05-01 16:40,0.634701602,0.551567735
2019-05-01 16:45,0.634341614,0.568195845
2019-05-01 16:50,0.71767411,0.650119417
2019-05-01 16:55,0.769837924,0.688315111
2019-05-01 17:00,0.769619276,0.598908576
2019-05-01 17:05,0.762407624,0.502687081
2019-05-01 17:10,0.746615903,0.473942668
2019-05-01 17:15,0.740519355,0.503870203
2019-05-01 17:20,0.733158636,0.469016506
2019-05-01 17:25,0.76694035,0.527924243
2019-05-01 17:30,0.734704364,0.528091562
2019-05-01 17:35,0.601703755,0.511813883
2019-05-01 17:40,0.623557653,0.538377715
2019-05-01 17:45,0.657416711,0.566146391
2019-05-01 17:50,0.686491415,0.521295422
2019-05-01 17:55,0.673301017,0.505639476
2019-05-01 18:00,0.685608292,0.565104241
2019-05-01 18:05,0.667203523,0.563681714
2019-05-01 18:10,0.689561736,0.486033405
2019-05-01 18:15,0.718032636,0.482746709
2019-05-01 18:20,0.747044079,0.472741875
2019-05-01 18:25,0.734851275,0.488185723
2019-05-01 18:30,0.742633319,0.48219461
2019-05-01 18:35,0.738618815,0.459289873
2019-05-01 18:40,0.740560166,0.448273133
2019-05-01 18:45,0.740357319,0.448767973
2019-05-01 18:50,0.750812352,0.453080252
2019-05-01 18:55,0.77167338,0.436266938
2019-05-01 19:00,0.764744785,0.436680788
2019-05-01 19:05,0.774990586,0.473914726
2019-05-01 19:10,0.767145579,0.459448236
2019-05-01 19:15,0.798871481,0.516636581
2019-05-01 19:20,0.822655356,0.516596999
2019-05-01 19:25,0.891930076,0.538641049
2019-05-01 19:30,0.901190679,0.562702423
2019-05-01 19:35,0.909743147,0.574830908
2019-05-01 19:40,0.937254505,0.594666657
2019-05-01 19:45,0.903865065,0.52811495
2019-05-01 19:50,0.886388885,0.500254672
2019-05-01 19:55,0.90259069,0.497126653
2019-05-01 20:00,0.76451879,0.44514552
2019-05-01 20:05,0.57534854,0.51692737
2019-05-01 20:10,0.571433824,0.552765329
2019-05-01 20:15,0.382323436,0.375283128
2019-05-01 20:20,0.31120312,0.358199212
2019-05-01 20:25,0.451764176,0.404705553
2019-05-01 20:30,0.378433918,0.351440903
2019-05-01 20:35,0.350047483,0.318970496
2019-05-01 20:40,0.343108912,0.283379959
2019-05-01 20:45,0.356155455,0.294322918
2019-05-01 20:50,0.402606857,0.330332781
2019-05-01 20:55,0.406298756,0.348751942
2019-05-01 21:00,0.488687209,0.456829478
2019-05-01 21:05,0.531305672,0.533505133
2019-05-01 21:10,0.611509144,0.624737969
2019-05-01 21:15,0.64072311,0.685335164
2019-05-01 21:20,0.71032657,0.698790086
2019-05-01 21:25,0.677832017,0.699261296
2019-05-01 21:30,0.691190982,0.743877078
2019-05-01 21:35,0.6843782,0.688485402
