date,OT,mem_usages
1970-01-01 0:56,19,90
1970-01-01 0:57,19.66666667,91
1970-01-01 0:58,19.66666667,90.83333333
1970-01-01 0:59,20.83333333,91.5
1970-01-01 1:00,25.66666667,92.5
1970-01-01 1:01,27,93
1970-01-01 1:02,25.16666667,93.5
1970-01-01 1:03,31.16666667,94.5
1970-01-01 1:04,27.16666667,95.16666667
1970-01-01 1:05,25.83333333,95.5
1970-01-01 1:06,23.66666667,93.66666667
1970-01-01 1:07,21.33333333,91.33333333
1970-01-01 1:08,23.5,90.83333333
1970-01-01 1:09,20,90
1970-01-01 1:10,25,90.16666667
1970-01-01 1:11,19.83333333,90
1970-01-01 1:12,17.16666667,90
1970-01-01 1:13,17.33333333,89.83333333
1970-01-01 1:14,14.16666667,87.83333333
1970-01-01 1:15,19,88.66666667
1970-01-01 1:16,27.5,89.5
1970-01-01 1:17,33.83333333,92.5
1970-01-01 1:18,39.5,95.83333333
1970-01-01 1:19,52,96.16666667
1970-01-01 1:20,44.16666667,94
1970-01-01 1:21,38.66666667,89.66666667
1970-01-01 1:22,34,87.83333333
1970-01-01 1:23,29.16666667,86.16666667
1970-01-01 1:24,39.5,86.16666667
1970-01-01 1:25,48.5,85.5
1970-01-01 1:26,42.83333333,85.33333333
1970-01-01 1:27,37,85.2
1970-01-01 1:28,37.33333333,86.33333333
1970-01-01 1:29,33.16666667,84.66666667
1970-01-01 1:30,35.83333333,85.16666667
1970-01-01 1:31,38.33333333,85.16666667
1970-01-01 1:32,37.16666667,85.16666667
1970-01-01 1:33,43.5,86.5
1970-01-01 1:34,38.66666667,86.5
1970-01-01 1:35,38,85.66666667
1970-01-01 1:36,34.16666667,86.83333333
1970-01-01 1:37,28.4,85.4
1970-01-01 1:38,30.66666667,84.66666667
1970-01-01 1:39,28.83333333,83.66666667
1970-01-01 1:40,27.16666667,83
1970-01-01 1:41,26.16666667,83
1970-01-01 1:42,23.83333333,82.33333333
1970-01-01 1:43,22.83333333,81.16666667
1970-01-01 1:44,34.33333333,83.33333333
1970-01-01 1:45,32.33333333,83.66666667
1970-01-01 1:46,26.66666667,83.16666667
1970-01-01 1:47,27.83333333,84.33333333
1970-01-01 1:48,30.16666667,85.83333333
1970-01-01 1:49,32.33333333,86.16666667
1970-01-01 1:50,33,86.66666667
